Security Code & Security Name	ISIN Code	Date Listed	Market	Industrial Group	CFICode	Remarks
1521¡@DAIOKU	TW0001521003	1997/10/06	TWSE LISTED	Automobile	ESVUFR	
1522¡@TYC	TW0001522001	1997/10/06	TWSE LISTED	Automobile	ESVUFR	
1524¡@GORDON	TW0001524007	1998/10/30	TWSE LISTED	Automobile	ESVUFR	
1525¡@KSC	TW0001525004	1999/05/15	TWSE LISTED	Automobile	ESVUFR	
1526¡@SUNRACE	TW0001526002	2000/03/27	TWSE LISTED	Electric Machinery	ESVUFR	
1527¡@BASSO	TW0001527000	2000/06/21	TWSE LISTED	Electric Machinery	ESVUFR	
1528¡@ANDERSON	TW0001528008	2000/09/11	TWSE LISTED	Electric Machinery	ESVUFR	
1529¡@KLINGON AERO	TW0001529006	2000/09/11	TWSE LISTED	Electric Machinery	ESVUFR	
1530¡@AWEA	TW0001530004	2000/09/11	TWSE LISTED	Electric Machinery	ESVUFR	
1531¡@KAULIN	TW0001531002	2000/09/11	TWSE LISTED	Electric Machinery	ESVUFR	
1532¡@CMP	TW0001532000	2000/09/11	TWSE LISTED	Electric Machinery	ESVUFR	
1533¡@MORE	TW0001533008	2001/04/06	TWSE LISTED	Automobile	ESVUFR	
1535¡@CEC	TW0001535003	2001/09/17	TWSE LISTED	Electric Machinery	ESVUFR	
1536¡@HOTA	TW0001536001	2001/09/17	TWSE LISTED	Automobile	ESVUFR	
1537¡@KUNG LONG	TW0001537009	2002/01/22	TWSE LISTED	Electric Machinery	ESVUFR	
1538¡@JF	TW0001538007	2002/08/26	TWSE LISTED	Electric Machinery	ESVUFR	
1539¡@GT	TW0001539005	2002/10/29	TWSE LISTED	Electric Machinery	ESVUFR	
1540¡@ROUNDTOP	TW0001540003	2002/08/26	TWSE LISTED	Electric Machinery	ESVUFR	
1541¡@CHANG TYPE	TW0001541001	2003/03/19	TWSE LISTED	Electric Machinery	ESVUFR	
1558¡@ZENG HSING	TW0001558005	2014/12/23	TWSE LISTED	Electric Machinery	ESVUFR	
1560¡@KINIK	TW0001560001	2005/01/31	TWSE LISTED	Electric Machinery	ESVUFR	
1568¡@T.Y.	TW0001568004	2014/05/14	TWSE LISTED	Automobile	ESVUFR	
1582¡@SYNCMOLD	TW0001582005	2009/12/17	TWSE LISTED	Electronic Parts/Components	ESVUFR	
1583¡@GOODWAY	TW0001583003	2008/01/24	TWSE LISTED	Electric Machinery	ESVUFR	
1587¡@CM	TW0001587004	2018/04/16	TWSE LISTED	Automobile	ESVUFR	
1589¡@YGG	KYG984291065	2012/04/27	TWSE LISTED	Electric Machinery	ESVUFR	
1590¡@AIRTAC	KYG014081064	2010/12/13	TWSE LISTED	Electric Machinery	ESVUFR	
1592¡@ENTEREX	KYG316231045	2014/10/16	TWSE LISTED	Automobile	ESVUFR	
1598¡@DYACO	TW0001598001	2016/09/20	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1603¡@CWCO	TW0001603009	1968/06/03	TWSE LISTED	Electrical & Cable	ESVUFR	
1604¡@SAMPO	TW0001604007	1970/12/14	TWSE LISTED	Electrical & Cable	ESVUFR	
1605¡@WALSIN	TW0001605004	1972/11/03	TWSE LISTED	Electrical & Cable	ESVUFR	
1608¡@HE	TW0001608008	1988/07/11	TWSE LISTED	Electrical & Cable	ESVUFR	
1609¡@TA YA	TW0001609006	1988/12/12	TWSE LISTED	Electrical & Cable	ESVUFR	
1611¡@CE	TW0001611002	1990/01/16	TWSE LISTED	Electrical & Cable	ESVUFR	
1612¡@HONG TAI	TW0001612000	1993/05/08	TWSE LISTED	Electrical & Cable	ESVUFR	
1614¡@TAIWAN SANYO	TW0001614006	1997/09/18	TWSE LISTED	Electrical & Cable	ESVUFR	
1615¡@DAH SAN	TW0001615003	2000/03/30	TWSE LISTED	Electrical & Cable	ESVUFR	
1616¡@EVERTOP	TW0001616001	2000/09/11	TWSE LISTED	Electrical & Cable	ESVUFR	
1617¡@JSW	TW0001617009	2000/09/11	TWSE LISTED	Electrical & Cable	ESVUFR	
1618¡@HK	TW0001618007	2000/09/11	TWSE LISTED	Electrical & Cable	ESVUFR	
1626¡@AIRMATE	KYG0135T1076	2013/03/21	TWSE LISTED	Electrical & Cable	ESVUFR	
1701¡@CCPC	TW0001701001	1962/02/09	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1702¡@NAMCHOW	TW0001702009	1973/05/30	TWSE LISTED	Food	ESVUFR	
1707¡@GKB	TW0001707008	1982/12/20	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1708¡@SESODA	TW0001708006	1986/06/16	TWSE LISTED	Chemical Industry	ESVUFR	
1709¡@FUCC	TW0001709004	1986/07/03	TWSE LISTED	Chemical Industry	ESVUFR	
1710¡@OUCC	TW0001710002	1987/10/21	TWSE LISTED	Chemical Industry	ESVUFR	
1711¡@EVERLIGHT	TW0001711000	1988/12/27	TWSE LISTED	Chemical Industry	ESVUFR	
1712¡@SINON	TW0001712008	1989/12/14	TWSE LISTED	Chemical Industry	ESVUFR	
1713¡@CCW	TW0001713006	1990/01/31	TWSE LISTED	Chemical Industry	ESVUFR	
1714¡@HO TUNG	TW0001714004	1991/08/30	TWSE LISTED	Chemical Industry	ESVUFR	
1717¡@ETERNAL	TW0001717007	1994/03/31	TWSE LISTED	Chemical Industry	ESVUFR	
1718¡@CMFC	TW0001718005	1963/12/02	TWSE LISTED	Chemical Industry	ESVUFR	
1720¡@S.C.P.C	TW0001720001	1995/12/12	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1721¡@SUNKO	TW0001721009	1996/05/16	TWSE LISTED	Chemical Industry	ESVUFR	
1722¡@TFC	TW0001722007	1998/03/24	TWSE LISTED	Chemical Industry	ESVUFR	
1723¡@CSCC	TW0001723005	1998/11/27	TWSE LISTED	Chemical Industry	ESVUFR	
1724¡@T.N.C.	TW0001724003	1995/03/30	TWSE LISTED	Chemical Industry	ESVUFR	
1725¡@YJE	TW0001725000	2000/09/11	TWSE LISTED	Chemical Industry	ESVUFR	
1726¡@Y.C.P.	TW0001726008	2000/09/11	TWSE LISTED	Chemical Industry	ESVUFR	
1727¡@CHCIW	TW0001727006	2000/09/11	TWSE LISTED	Chemical Industry	ESVUFR	
1730¡@FARCENT	TW0001730000	2001/09/17	TWSE LISTED	Chemical Industry	ESVUFR	
1731¡@MAYWUFA	TW0001731008	2001/09/17	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1732¡@MAO BAO	TW0001732006	2001/09/17	TWSE LISTED	Chemical Industry	ESVUFR	
1733¡@APEXBIO	TW0001733004	2001/09/17	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1734¡@SINPHAR	TW0001734002	2002/08/26	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1735¡@EMC	TW0001735009	2002/08/26	TWSE LISTED	Chemical Industry	ESVUFR	
1736¡@JHT	TW0001736007	2003/01/09	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1737¡@TAIYEN	TW0001737005	2003/11/18	TWSE LISTED	Food	ESVUFR	
1760¡@PBF	TW0001760007	2018/01/23	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1762¡@CCSB	TW0001762003	2010/12/20	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1773¡@SHINY CHEMICAL	TW0001773000	2009/02/27	TWSE LISTED	Chemical Industry	ESVUFR	
1776¡@HEADWAY	TW0001776003	2016/05/09	TWSE LISTED	Chemical Industry	ESVUFR	
1783¡@MBI	TW0001783009	2013/12/20	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1786¡@SVBI	TW0001786002	2013/11/12	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1789¡@SPT	TW0001789006	2011/09/29	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1795¡@LOTUS PHARM	TW0001795003	2019/12/16	TWSE LISTED	Biotechnology and Medical Care	ESVUFR	
1802¡@TGI	TW0001802007	1973/07/20	TWSE LISTED	Glass & Ceramic	ESVUFR	
